frame	onset	duration	trial_type	event_type	response_type	response_time	stim_file	accuracy
0	58.161		control-reward	ImageDisplay1		0.0		
0	60.401	0.75	control-reward	StartDisplay				
0	61.153		control-reward	ImageDisplay2		0.0		
0	64.145	1.6	control-reward	ChoiceDisplay	1	0.789	1	1
0	64.948	0.811	control-reward	ChosenDisplay		0.0		
0	65.75	0.25	control-reward	TurnDisplay				
0	66.001	0.75	control-reward	OutcomeDisplay				
1	66.753		win-noreward	ImageDisplay1		0.0		
1	68.993	0.75	win-noreward	StartDisplay				
1	69.745		win-noreward	ImageDisplay2		0.0		
1	72.754	1.6	win-noreward	ChoiceDisplay	1	0.642	1	1
1	73.423	0.958	win-noreward	ChosenDisplay		0.0		
1	74.359	0.25	win-noreward	TurnDisplay				
1	74.61	0.75	win-noreward	OutcomeDisplay				
2	75.362		win-reward	ImageDisplay1		0.0		
2	77.351	0.75	win-reward	StartDisplay				
2	78.104		win-reward	ImageDisplay2		0.0		
2	81.363	1.6	win-reward	ChoiceDisplay	1	0.845	1	1
2	82.233	0.755	win-reward	ChosenDisplay		0.0		
2	82.968	0.25	win-reward	TurnDisplay				
2	83.219	0.75	win-reward	OutcomeDisplay				
3	83.971		control-reward	ImageDisplay1		0.0		
3	86.211	0.75	control-reward	StartDisplay				
3	86.964		control-reward	ImageDisplay2		0.0		
3	89.973	1.6	control-reward	ChoiceDisplay	1	0.757	1	1
3	90.758	0.843	control-reward	ChosenDisplay		0.0		
3	91.577	0.25	control-reward	TurnDisplay				
3	91.828	0.75	control-reward	OutcomeDisplay				
4	92.58		win-noreward	ImageDisplay1		0.0		
4	94.57	0.75	win-noreward	StartDisplay				
4	95.322		win-noreward	ImageDisplay2		0.0		
4	98.582	1.6	win-noreward	ChoiceDisplay	1	0.579	1	1
4	99.184	1.021	win-noreward	ChosenDisplay		0.0		
4	100.187	0.25	win-noreward	TurnDisplay				
4	100.437	0.75	win-noreward	OutcomeDisplay				
5	101.189		control-reward	ImageDisplay1		0.0		
5	103.43	0.75	control-reward	StartDisplay				
5	104.182		control-reward	ImageDisplay2		0.0		
5	107.191	1.6	control-reward	ChoiceDisplay	1	0.616	1	1
5	107.826	0.984	control-reward	ChosenDisplay		0.0		
5	108.796	0.25	control-reward	TurnDisplay				
5	109.046	0.75	control-reward	OutcomeDisplay				
6	109.799		win-reward	ImageDisplay1		0.0		
6	111.788	0.75	win-reward	StartDisplay				
6	112.54		win-reward	ImageDisplay2		0.0		
6	115.8	1.6	win-reward	ChoiceDisplay	1	0.642	1	1
6	116.469	0.958	win-reward	ChosenDisplay		0.0		
6	117.405	0.25	win-reward	TurnDisplay				
6	117.656	0.75	win-reward	OutcomeDisplay				
7	118.408		win-reward	ImageDisplay1		0.0		
7	120.414	0.75	win-reward	StartDisplay				
7	121.149		win-reward	ImageDisplay2		0.0		
7	124.409	1.6	win-reward	ChoiceDisplay	1	0.719	1	1
7	125.145	0.881	win-reward	ChosenDisplay		0.0		
7	126.014	0.25	win-reward	TurnDisplay				
7	126.265	0.75	win-reward	OutcomeDisplay				
8	127.017		win-noreward	ImageDisplay1		0.0		
8	129.006	0.75	win-noreward	StartDisplay				
8	129.758		win-noreward	ImageDisplay2		0.0		
8	133.018	1.6	win-noreward	ChoiceDisplay	1	0.909	1	1
8	133.954	0.691	win-noreward	ChosenDisplay		0.0		
8	134.623	0.25	win-noreward	TurnDisplay				
8	134.874	0.75	win-noreward	OutcomeDisplay				
9	135.626		loss-noreward	ImageDisplay1		0.0		
9	137.866	0.75	loss-noreward	StartDisplay				
9	138.618		loss-noreward	ImageDisplay2		0.0		
9	141.627	1.6	loss-noreward	ChoiceDisplay	1	0.461	1	1
9	142.112	1.139	loss-noreward	ChosenDisplay		0.0		
9	143.232	0.25	loss-noreward	TurnDisplay				
9	143.483	0.75	loss-noreward	OutcomeDisplay				
10	144.252		loss-reward	ImageDisplay1		0.0		
10	146.492	0.75	loss-reward	StartDisplay				
10	147.227		loss-reward	ImageDisplay2		0.0		
10	150.236	1.6	loss-reward	ChoiceDisplay	1	0.525	1	1
10	150.788	1.075	loss-reward	ChosenDisplay		0.0		
10	151.841	0.25	loss-reward	TurnDisplay				
10	152.092	0.75	loss-reward	OutcomeDisplay				
11	152.844		control-reward	ImageDisplay1		0.0		
11	155.084	0.75	control-reward	StartDisplay				
11	155.836		control-reward	ImageDisplay2		0.0		
11	158.845	1.6	control-reward	ChoiceDisplay	1	0.444	1	1
11	159.314	1.156	control-reward	ChosenDisplay		0.0		
11	160.45	0.25	control-reward	TurnDisplay				
11	160.701	0.75	control-reward	OutcomeDisplay				
12	161.453		loss-noreward	ImageDisplay1		0.0		
12	163.443	0.75	loss-noreward	StartDisplay				
12	164.195		loss-noreward	ImageDisplay2		0.0		
12	167.455	1.6	loss-noreward	ChoiceDisplay	1	0.397	1	1
12	167.872	1.203	loss-noreward	ChosenDisplay		0.0		
12	169.059	0.25	loss-noreward	TurnDisplay				
12	169.31	0.75	loss-noreward	OutcomeDisplay				
13	170.062		control-noreward	ImageDisplay1		0.0		
13	172.302	0.75	control-noreward	StartDisplay				
13	173.055		control-noreward	ImageDisplay2		0.0		
13	176.064	1.6	control-noreward	ChoiceDisplay	1	0.61	1	1
13	176.699	0.99	control-noreward	ChosenDisplay		0.0		
13	177.669	0.25	control-noreward	TurnDisplay				
13	177.919	0.75	control-noreward	OutcomeDisplay				
14	178.671		win-reward	ImageDisplay1		0.0		
14	180.912	0.75	win-reward	StartDisplay				
14	181.664		win-reward	ImageDisplay2		0.0		
14	184.673	1.6	win-reward	ChoiceDisplay	1	0.406	1	1
14	185.107	1.194	win-reward	ChosenDisplay		0.0		
14	186.278	0.25	win-reward	TurnDisplay				
14	186.528	0.75	win-reward	OutcomeDisplay				
15	187.281		win-noreward	ImageDisplay1		0.0		
15	189.521	0.75	win-noreward	StartDisplay				
15	190.273		win-noreward	ImageDisplay2		0.0		
15	193.282	1.6	win-noreward	ChoiceDisplay	1	0.424	1	1
15	193.733	1.176	win-noreward	ChosenDisplay		0.0		
15	194.887	0.25	win-noreward	TurnDisplay				
15	195.137	0.75	win-noreward	OutcomeDisplay				
16	195.89		win-reward	ImageDisplay1		0.0		
16	198.13	0.75	win-reward	StartDisplay				
16	198.882		win-reward	ImageDisplay2		0.0		
16	201.891	1.6	win-reward	ChoiceDisplay	1	0.638	1	1
16	202.543	0.962	win-reward	ChosenDisplay		0.0		
16	203.496	0.25	win-reward	TurnDisplay				
16	203.747	0.75	win-reward	OutcomeDisplay				
17	204.499		control-reward	ImageDisplay1		0.0		
17	206.488	0.75	control-reward	StartDisplay				
17	207.24		control-reward	ImageDisplay2		0.0		
17	210.5	1.6	control-reward	ChoiceDisplay	1	0.519	1	1
17	211.035	1.081	control-reward	ChosenDisplay		0.0		
17	212.105	0.25	control-reward	TurnDisplay				
17	212.356	0.75	control-reward	OutcomeDisplay				
18	213.108		win-reward	ImageDisplay1		0.0		
18	215.348	0.75	win-reward	StartDisplay				
18	216.1		win-reward	ImageDisplay2		0.0		
18	219.109	1.6	win-reward	ChoiceDisplay	1	0.624	1	1
18	219.761	0.976	win-reward	ChosenDisplay		0.0		
18	220.714	0.25	win-reward	TurnDisplay				
18	220.965	0.75	win-reward	OutcomeDisplay				
19	221.717		control-noreward	ImageDisplay1		0.0		
19	223.723	0.75	control-noreward	StartDisplay				
19	224.459		control-noreward	ImageDisplay2		0.0		
19	227.718	1.6	control-noreward	ChoiceDisplay	1	0.652	1	1
19	228.387	0.948	control-noreward	ChosenDisplay		0.0		
19	229.323	0.25	control-noreward	TurnDisplay				
19	229.574	0.75	control-noreward	OutcomeDisplay				
20	230.326		control-reward	ImageDisplay1		0.0		
20	232.315	0.75	control-reward	StartDisplay				
20	233.068		control-reward	ImageDisplay2		0.0		
20	236.327	1.6	control-reward	ChoiceDisplay	1	0.668	1	1
20	237.013	0.932	control-reward	ChosenDisplay		0.0		
20	237.932	0.25	control-reward	TurnDisplay				
20	238.183	0.75	control-reward	OutcomeDisplay				
21	238.935		win-noreward	ImageDisplay1		0.0		
21	241.175	0.75	win-noreward	StartDisplay				
21	241.928		win-noreward	ImageDisplay2		0.0		
21	244.937	1.6	win-noreward	ChoiceDisplay	1	0.502	1	1
21	245.455	1.098	win-noreward	ChosenDisplay		0.0		
21	246.541	0.25	win-noreward	TurnDisplay				
21	246.792	0.75	win-noreward	OutcomeDisplay				
22	247.544		win-noreward	ImageDisplay1		0.0		
22	249.784	0.75	win-noreward	StartDisplay				
22	250.537		win-noreward	ImageDisplay2		0.0		
22	253.546	1.6	win-noreward	ChoiceDisplay	1	0.526	1	1
22	254.097	1.074	win-noreward	ChosenDisplay		0.0		
22	255.15	0.25	win-noreward	TurnDisplay				
22	255.401	0.75	win-noreward	OutcomeDisplay				
23	256.153		win-noreward	ImageDisplay1		0.0		
23	258.143	0.75	win-noreward	StartDisplay				
23	258.895		win-noreward	ImageDisplay2		0.0		
23	262.155	1.6	win-noreward	ChoiceDisplay	1	0.532	1	1
23	262.706	1.068	win-noreward	ChosenDisplay		0.0		
23	263.76	0.25	win-noreward	TurnDisplay				
23	264.01	0.75	win-noreward	OutcomeDisplay				
24	264.763		control-noreward	ImageDisplay1		0.0		
24	267.003	0.75	control-noreward	StartDisplay				
24	267.755		control-noreward	ImageDisplay2		0.0		
24	270.764	1.6	control-noreward	ChoiceDisplay	1	0.894	1	1
24	271.683	0.706	control-noreward	ChosenDisplay		0.0		
24	272.369	0.25	control-noreward	TurnDisplay				
24	272.619	0.75	control-noreward	OutcomeDisplay				
25	273.372		control-noreward	ImageDisplay1		0.0		
25	275.361	0.75	control-noreward	StartDisplay				
25	276.113		control-noreward	ImageDisplay2		0.0		
25	279.373	1.6	control-noreward	ChoiceDisplay	1	0.679	1	1
25	280.075	0.921	control-noreward	ChosenDisplay		0.0		
